asin,title,main_category,price,average_rating,rating_number,features,description,images
B00000136,BrandC Skincare Product 136,Skincare,28.739296632088646,3.027343929653995,832,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_136.jpg']
B00000137,BrandD Bath Product 137,Bath,123.80614127821086,4.999435346572261,879,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_137.jpg']
B00000138,BrandE Haircare Product 138,Haircare,91.92093452556607,4.452241688143696,723,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_138.jpg']
B00000139,BrandC Makeup Product 139,Makeup,44.62873424404767,3.9010882706201873,887,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_139.jpg']
B00000140,BrandC Skincare Product 140,Skincare,48.46245158362723,3.414455298016113,458,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_140.jpg']
B00000141,BrandB Skincare Product 141,Skincare,60.14278052459767,3.227115184399258,163,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_141.jpg']
B00000142,BrandB Makeup Product 142,Makeup,76.66949755046198,4.662742980125002,315,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_142.jpg']
B00000143,BrandA Fragrance Product 143,Fragrance,87.26695742842797,4.121875943070773,743,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_143.jpg']
B00000144,BrandA Haircare Product 144,Haircare,92.59382559926905,3.9600919340369503,928,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_144.jpg']
B00000145,BrandE Tools Product 145,Tools,99.51058997639393,4.610089335038724,112,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_145.jpg']
B00000146,BrandD Bath Product 146,Bath,147.2647815129329,4.21617569908377,859,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_146.jpg']
B00000147,BrandC Bath Product 147,Bath,22.74029274718624,4.4527940653004565,258,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_147.jpg']
B00000148,BrandA Bath Product 148,Bath,119.71142178376003,3.7930855646425403,768,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_148.jpg']
B00000149,BrandC Makeup Product 149,Makeup,107.66986200908487,4.592943551347755,147,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_149.jpg']
B00000150,BrandB Skincare Product 150,Skincare,117.64848378415564,3.132471955703732,78,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_150.jpg']
B00000151,BrandF Makeup Product 151,Makeup,78.96653315900174,3.657503220575016,756,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_151.jpg']
B00000152,BrandC Haircare Product 152,Haircare,20.620865935212947,3.2577594438212985,192,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_152.jpg']
B00000153,BrandF Haircare Product 153,Haircare,107.67346031757044,3.360134544698597,909,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_153.jpg']
B00000154,BrandC Skincare Product 154,Skincare,132.4044646796184,4.0304721097284215,681,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_154.jpg']
B00000155,BrandE Makeup Product 155,Makeup,36.92046263321391,3.0817372325329577,14,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_155.jpg']
B00000156,BrandD Makeup Product 156,Makeup,58.66669002757569,3.0636093629703303,847,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_156.jpg']
B00000157,BrandE Skincare Product 157,Skincare,74.50902752458161,3.412667436811585,555,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_157.jpg']
B00000158,BrandF Skincare Product 158,Skincare,56.213931863421756,3.6431655293600578,803,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_158.jpg']
B00000159,BrandA Skincare Product 159,Skincare,106.28986039345162,4.023314027094522,116,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_159.jpg']
B00000160,BrandA Tools Product 160,Tools,48.76287074060852,4.612402559586123,634,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_160.jpg']
B00000161,BrandE Haircare Product 161,Haircare,148.07597942135413,4.073181291974665,65,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_161.jpg']
B00000162,BrandF Bath Product 162,Bath,96.55566801424143,3.7378272791395446,225,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_162.jpg']
B00000163,BrandE Makeup Product 163,Makeup,18.727790751573803,3.2954781838124534,892,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_163.jpg']
B00000164,BrandF Haircare Product 164,Haircare,114.94627248120224,3.0609443054671885,283,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_164.jpg']
B00000165,BrandF Makeup Product 165,Makeup,84.56641730370325,3.4849410072694593,994,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_165.jpg']
B00000166,BrandD Tools Product 166,Tools,12.809967688881692,3.6441583311663566,240,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_166.jpg']
B00000167,BrandB Bath Product 167,Bath,84.94697896217329,3.4664328230996024,534,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_167.jpg']
B00000168,BrandA Fragrance Product 168,Fragrance,105.07432468022854,4.578342477214677,118,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_168.jpg']
B00000169,BrandD Makeup Product 169,Makeup,85.19491585459669,4.173682236041758,785,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_169.jpg']
B00000170,BrandD Skincare Product 170,Skincare,27.861242391378926,3.5675518115974487,527,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_170.jpg']
B00000171,BrandB Fragrance Product 171,Fragrance,95.0577311211002,3.488706310929309,324,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_171.jpg']
B00000172,BrandF Tools Product 172,Tools,94.8084747099642,3.474453583471989,671,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_172.jpg']
B00000173,BrandF Tools Product 173,Tools,61.14995475436807,3.975619601617476,359,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_173.jpg']
B00000174,BrandF Haircare Product 174,Haircare,49.913323617138595,3.3467471905895096,832,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_174.jpg']
B00000175,BrandC Skincare Product 175,Skincare,83.43159453983566,3.8207936539793232,557,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_175.jpg']
B00000176,BrandB Bath Product 176,Bath,90.6397784927924,4.834791226171063,856,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_176.jpg']
B00000177,BrandF Bath Product 177,Bath,46.10639578629158,3.341775174780132,956,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_177.jpg']
B00000178,BrandA Bath Product 178,Bath,110.5840179171175,4.0700734640898215,35,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_178.jpg']
B00000179,BrandE Haircare Product 179,Haircare,117.72901064687116,3.3740874971150467,127,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_179.jpg']
B00000180,BrandC Fragrance Product 180,Fragrance,37.93096982736476,4.472494367396976,149,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_180.jpg']
B00000181,BrandB Skincare Product 181,Skincare,117.48913020199743,3.174580359179351,903,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_181.jpg']
B00000182,BrandD Haircare Product 182,Haircare,54.889906902332,4.187766195115797,911,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_182.jpg']
B00000183,BrandB Makeup Product 183,Makeup,86.80443651134145,4.097843959777954,907,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_183.jpg']
B00000184,BrandB Tools Product 184,Tools,22.301535573971954,3.2776495468840405,338,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_184.jpg']
B00000185,BrandA Skincare Product 185,Skincare,93.3894236850982,3.9431523771003167,428,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_185.jpg']
B00000186,BrandA Bath Product 186,Bath,129.10184440230364,4.4919490510974365,955,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_186.jpg']
B00000187,BrandE Bath Product 187,Bath,112.3214465285102,4.876680913642076,597,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_187.jpg']
B00000188,BrandC Haircare Product 188,Haircare,139.70291930255956,4.443193101502555,581,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_188.jpg']
B00000189,BrandC Tools Product 189,Tools,121.33742366038463,3.403254640095489,807,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_189.jpg']
B00000190,BrandE Haircare Product 190,Haircare,36.096698150340174,3.4713834921299993,87,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_190.jpg']
B00000191,BrandF Makeup Product 191,Makeup,60.23626777729035,4.7544010816262166,98,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_191.jpg']
B00000192,BrandF Makeup Product 192,Makeup,135.95344234090425,4.248203088363676,874,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_192.jpg']
B00000193,BrandA Skincare Product 193,Skincare,59.750743254575426,3.782964220403004,971,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_193.jpg']
B00000194,BrandE Bath Product 194,Bath,136.90609553503657,4.248475991827984,956,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_194.jpg']
B00000195,BrandF Bath Product 195,Bath,56.5942100277478,4.461098273618603,563,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_195.jpg']
B00000196,BrandE Fragrance Product 196,Fragrance,79.35930769655519,4.482921822278091,932,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_196.jpg']
B00000197,BrandE Fragrance Product 197,Fragrance,31.234483162585164,3.6234441355910967,420,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_197.jpg']
B00000198,BrandF Skincare Product 198,Skincare,38.63624304372486,4.428128164447228,526,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_198.jpg']
B00000199,BrandB Haircare Product 199,Haircare,57.89144482022704,4.642514609344026,168,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_199.jpg']
B00000200,BrandE Fragrance Product 200,Fragrance,27.848412726477537,3.7945745811207345,166,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_200.jpg']
B00000201,BrandE Tools Product 201,Tools,42.09519533256981,4.444505136786132,139,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_201.jpg']
B00000202,BrandC Haircare Product 202,Haircare,107.152782225394,4.085448886695192,820,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_202.jpg']
B00000203,BrandE Haircare Product 203,Haircare,125.75183589327096,4.918149589128055,881,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_203.jpg']
B00000204,BrandF Bath Product 204,Bath,66.11919834690958,3.924011607288265,311,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_204.jpg']
B00000205,BrandD Haircare Product 205,Haircare,137.65933723801504,3.2782323882861237,219,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_205.jpg']
B00000206,BrandA Skincare Product 206,Skincare,12.535425734917672,4.7442478178883025,469,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_206.jpg']
B00000207,BrandD Fragrance Product 207,Fragrance,138.6250731165045,4.580169274248173,814,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_207.jpg']
B00000208,BrandA Makeup Product 208,Makeup,90.68037042335385,4.213430092765712,60,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_208.jpg']
B00000209,BrandF Tools Product 209,Tools,140.81138206766207,4.851137025813553,416,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_209.jpg']
B00000210,BrandF Skincare Product 210,Skincare,43.026844843311366,3.3310410207345793,429,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_210.jpg']
B00000211,BrandA Bath Product 211,Bath,56.50049777169145,3.6228885280912824,380,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_211.jpg']
B00000212,BrandA Tools Product 212,Tools,114.19495125806044,3.411159616751275,322,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_212.jpg']
B00000213,BrandB Tools Product 213,Tools,56.68988403676018,3.796337387181887,546,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_213.jpg']
B00000214,BrandC Makeup Product 214,Makeup,139.21443245178787,3.9314002446376266,484,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_214.jpg']
B00000215,BrandC Makeup Product 215,Makeup,73.310511724573,3.449209645879964,885,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_215.jpg']
B00000216,BrandC Haircare Product 216,Haircare,44.751701986001265,4.155263908183095,189,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_216.jpg']
B00000217,BrandE Bath Product 217,Bath,138.078426149534,3.7247877982332662,72,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_217.jpg']
B00000218,BrandF Haircare Product 218,Haircare,40.813609971353586,3.425361568682453,58,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_218.jpg']
B00000219,BrandD Skincare Product 219,Skincare,74.25845832238183,4.114610737780096,351,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_219.jpg']
B00000220,BrandE Fragrance Product 220,Fragrance,35.824801998639856,3.599191823532954,745,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_220.jpg']
B00000221,BrandF Tools Product 221,Tools,114.9944658558849,3.4198111861911715,732,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_221.jpg']
B00000222,BrandF Bath Product 222,Bath,36.69628089291332,3.07309933569619,295,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_222.jpg']
B00000223,BrandB Haircare Product 223,Haircare,51.16625509093602,4.428118399579656,203,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_223.jpg']
B00000224,BrandD Bath Product 224,Bath,77.35231277426203,3.994023897642498,956,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_224.jpg']
B00000225,BrandA Fragrance Product 225,Fragrance,56.81079358346751,3.1510067276077782,652,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_225.jpg']
B00000226,BrandB Makeup Product 226,Makeup,135.6402573746438,4.053156933318587,96,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_226.jpg']
B00000227,BrandB Fragrance Product 227,Fragrance,131.3791264016133,3.815968990729689,322,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_227.jpg']
B00000228,BrandC Haircare Product 228,Haircare,80.77110307484473,4.190097959400841,770,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_228.jpg']
B00000229,BrandC Tools Product 229,Tools,134.2444675518904,4.113443169566732,273,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_229.jpg']
B00000230,BrandC Makeup Product 230,Makeup,44.04410673992357,4.444533863711318,129,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_230.jpg']
B00000231,BrandC Bath Product 231,Bath,144.77090459768246,4.888819451154546,191,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_231.jpg']
B00000232,BrandF Tools Product 232,Tools,51.040682236541855,4.79267163704224,16,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_232.jpg']
B00000233,BrandA Makeup Product 233,Makeup,39.104075720443824,3.053064407747639,390,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_233.jpg']
B00000234,BrandD Haircare Product 234,Haircare,100.00957890599545,4.407892270277019,906,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_234.jpg']
B00000235,BrandD Tools Product 235,Tools,57.02122000097691,4.65021466284532,716,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_235.jpg']
B00000236,BrandD Fragrance Product 236,Fragrance,97.38084709887876,3.818823304382481,743,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_236.jpg']
B00000237,BrandB Skincare Product 237,Skincare,130.54952279646102,3.4390210501619176,515,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_237.jpg']
B00000238,BrandD Bath Product 238,Bath,29.615844607303355,4.736935951795825,641,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_238.jpg']
B00000239,BrandF Haircare Product 239,Haircare,75.94916337713401,3.3642142776431667,891,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_239.jpg']
B00000240,BrandA Haircare Product 240,Haircare,47.614830313892455,4.083268429321734,246,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_240.jpg']
B00000241,BrandA Skincare Product 241,Skincare,29.50985037019538,4.6698604735985985,13,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_241.jpg']
B00000242,BrandB Makeup Product 242,Makeup,136.080122173094,4.382443715219309,814,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_242.jpg']
B00000243,BrandF Haircare Product 243,Haircare,138.00183291846986,3.2355021657802823,365,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_243.jpg']
B00000244,BrandF Skincare Product 244,Skincare,19.404555988199412,3.8104961760553775,387,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_244.jpg']
B00000245,BrandE Fragrance Product 245,Fragrance,11.539416012187267,3.2737712601376145,834,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_245.jpg']
B00000246,BrandC Bath Product 246,Bath,93.63783430384316,4.201033720867307,830,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_246.jpg']
B00000247,BrandE Makeup Product 247,Makeup,127.33497484496141,3.808763003098049,711,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_247.jpg']
B00000248,BrandF Makeup Product 248,Makeup,16.575235348507707,3.332566737512159,372,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_248.jpg']
B00000249,BrandC Skincare Product 249,Skincare,22.647174480865104,4.541971851070957,38,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_249.jpg']
B00000250,BrandC Tools Product 250,Tools,50.41712314789798,3.7113454329298983,122,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_250.jpg']
B00000251,BrandC Haircare Product 251,Haircare,142.9029515880872,3.7932987461041083,673,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_251.jpg']
B00000252,BrandF Bath Product 252,Bath,112.56009360943504,3.4298807571815138,557,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_252.jpg']
B00000253,BrandC Fragrance Product 253,Fragrance,93.31091029803568,3.1028516269685005,967,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_253.jpg']
B00000254,BrandE Haircare Product 254,Haircare,31.654099723653072,4.246665101809981,459,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_254.jpg']
B00000255,BrandA Tools Product 255,Tools,20.51928944301323,4.456377512407206,226,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_255.jpg']
B00000256,BrandC Tools Product 256,Tools,93.76004815754165,3.9193630255222622,812,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_256.jpg']
B00000257,BrandB Haircare Product 257,Haircare,121.9182230556571,4.389392941708854,487,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_257.jpg']
B00000258,BrandB Bath Product 258,Bath,24.433124441924285,3.629193113618822,964,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_258.jpg']
B00000259,BrandA Haircare Product 259,Haircare,29.154608328654597,4.900474707641605,832,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_259.jpg']
B00000260,BrandD Skincare Product 260,Skincare,85.86613263297014,4.745891671752816,785,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_260.jpg']
B00000261,BrandA Tools Product 261,Tools,102.22967133950043,4.384553129035705,719,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_261.jpg']
B00000262,BrandB Skincare Product 262,Skincare,78.51949491003967,3.4424188836392045,931,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_262.jpg']
B00000263,BrandE Skincare Product 263,Skincare,103.78844503700549,3.0883308754202003,25,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_263.jpg']
B00000264,BrandB Skincare Product 264,Skincare,89.51233227736813,4.830976595176084,791,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_264.jpg']
B00000265,BrandA Tools Product 265,Tools,36.96386388998826,3.230564042494569,836,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_265.jpg']
B00000266,BrandB Tools Product 266,Tools,114.30903673683085,3.10976522929295,411,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_266.jpg']
B00000267,BrandB Haircare Product 267,Haircare,100.2365310876151,4.300334700886456,161,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_267.jpg']
B00000268,BrandD Haircare Product 268,Haircare,26.87936400881903,3.1539064032584183,814,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_268.jpg']
B00000269,BrandB Haircare Product 269,Haircare,111.4673480140266,3.1307126815978847,536,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_269.jpg']
B00000270,BrandD Skincare Product 270,Skincare,120.70124307745489,3.63750500586414,731,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_270.jpg']
B00000271,BrandE Skincare Product 271,Skincare,96.22084634552265,3.4659189495072678,320,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_271.jpg']
B00000272,BrandB Haircare Product 272,Haircare,148.6477838678488,3.0004750471517694,790,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_272.jpg']
